timestamp,source_host,event_type,action,details,severity
2026-09-03 07:00:00,workstation-alice,system_startup,boot,System started successfully,INFO
2026-09-03 07:30:15,workstation-bob,system_startup,boot,System started successfully,INFO
2026-09-03 08:00:05,workstation-carol,system_startup,boot,System started successfully,INFO
2026-09-03 08:15:44,web-server-01,service_status,running,Web server healthy,INFO
2026-09-03 08:30:55,app-server-01,service_status,running,App server healthy,INFO
2026-09-03 09:00:22,db-server-01,service_status,running,Database server healthy,INFO
2026-09-03 10:00:00,app-server-01,service_status,running,All services normal,INFO
2026-09-03 12:00:00,db-server-01,service_status,running,All services normal,INFO
2026-09-03 15:00:00,web-server-01,service_status,running,All services normal,INFO
2026-09-03 20:00:30,web-server-01,user_login,authentication,User svc_backup authenticated,INFO
2026-09-03 20:01:05,web-server-01,process_execution,spawn,Process psexec.exe executed from network share,WARNING
2026-09-03 20:01:22,web-server-01,process_execution,spawn,Remote shell established via psexec,CRITICAL
2026-09-03 20:04:10,app-server-01,user_login,authentication,User svc_backup authenticated from web-server-01,INFO
2026-09-03 20:04:35,app-server-01,process_execution,spawn,Process psexec.exe executed from network share,WARNING
2026-09-03 20:04:52,app-server-01,process_execution,spawn,Remote shell established via psexec,CRITICAL
2026-09-03 20:07:40,db-server-01,user_login,authentication,User svc_backup authenticated from app-server-01,INFO
2026-09-03 20:08:15,db-server-01,credential_dump,attempt,Mimikatz-like credential dump detected,CRITICAL
2026-09-03 20:08:45,db-server-01,process_execution,spawn,LSASS memory access detected,CRITICAL
2026-09-03 20:10:10,db-server-01,file_access,read,File database_dump.sql accessed,WARNING
2026-09-03 20:10:40,db-server-01,file_access,read,File database_dump.sql copied to staging,WARNING
2026-09-03 20:12:10,db-server-01,network_connection,outbound,Outbound connection to 198.51.100.75 established,CRITICAL
2026-09-03 20:14:30,db-server-01,network_connection,closed,Connection to 198.51.100.75 closed,INFO
2026-09-03 20:15:10,db-server-01,user_logout,authentication,User svc_backup logged out,INFO
2026-09-03 20:20:00,workstation-alice,user_login,authentication,User developer_alice authenticated,INFO
2026-09-03 20:30:22,workstation-carol,user_login,authentication,User dba_carol authenticated,INFO
